phone,longitude,price_level,rating,position,reviews,name,type,latitude,address,description,hours,thumbnail,website
074989 66959,74.7222712,0,4.9,7,33,Classy Cakes,Cake shop,19.0808795,"3PJF+8JR Sagar complex, Rama Apartment, Agarkar Mala, Ahilyanagar, Maharashtra 414001, India",,,https://lh3.googleusercontent.com/p/AF1QipNRJ2qCRX4H9ionrDrlstaHi9v5zliJF8rdl982=w80-h92-k-no,
091305 43326,74.7394291,0,5.0,8,92,The Cake Shop,Bakery,19.1285321,"Pipeline Rd, in front of HDFC Bank, Gawade Mala, Bhistabag, Ahilyanagar, Maharashtra 414003, India",,Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/p/AF1QipMowgvtiG7r29kK2LcDKfhgLm5_GkkJjLmknd9H=w138-h92-k-no,https://www.instagram.com/reel/DJ_hCUwocd2/?igsh=MWY5eXN1aDZoOGNkdA==
087677 18480,74.7352611,0,4.8,9,48,Kekiz The cake shop,Cake shop,19.0827858,"Shop no A 106, Eagle Pride, Burudgaon, Ahilyanagar, Maharashtra 414001, India",,Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noVQvisDlBYgB8SZkJe_qaecM2fgIlKOUjgJAukp-H4TAJ7QYfdzjh3AaHWUNy9xlBoHAuAfGAJmgAi5gLH41hqVw7rK--UEetdAeBR3fUiSjlyW_yEgbol2AVME1w3L68O8BmT-g=w122-h92-k-no,http://kekiz.com/
097642 09977,74.7360909,0,5.0,10,52,FLAVOURS cake factory,Bakery,19.1187541,"Professor Colony, Savedi, Ahilyanagar, Maharashtra 414003, India",,Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/p/AF1QipP5I15vmmonhFrIfHKHRabC-f5QFDNCKR9BvWMZ=w80-h92-k-no,
096971 21298,74.76559519999999,0,5.0,11,11,Trisha Bakers & Cake Shop,Cake shop,19.1043961,"Gondhale mala, Nagardvale, Bhingar, Ahilyanagar, Maharashtra 414002, India",,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNCydBV5mv-Q2fkG7PMVwOhmovZLIBxeSr54jg3=w80-h142-k-no,https://instagram.com/trisha_bakers?igshid=htu8yt4wjp6e
,74.697096,0,5.0,12,15,SONAL Cakes(Home Made),Cake shop,19.0597161,"Nath Residency, Motinagar, Kedgaon, Ahilyanagar, Maharashtra 414005, India",,Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npcV2ZexaRsHpchg_UZldteUh2vS871jxpAtHiUuVuynrnkf5uGCtnYMhlWdxL_EslqY6Zb7Efr5XELURGt-KuSRCIxPXqS2y3UAb_kaPesPohlNVZI-S056ZJxs3Z9VHALdRIVbyF69P_S=w92-h92-k-no,
077210 33389,74.74223549999999,0,4.8,13,46,AMIT BAKERY,Cake shop,19.0886071,"Kothi, Market Yard Rd, Parshwanath Colony, Maliwada, Nagar, Ahilyanagar, Maharashtra 414001, India",,Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/p/AF1QipOeATem-HKtckwktGrVU53A5wjMUcM1bbCKKjSD=w122-h92-k-no,
098909 06853,74.74091039999999,0,5.0,14,10,New Prabhat Breads,Bakery,19.0957344,"Mathura Land Complex, 2993/94, Saraf Bazaar Rd, Nalegaon, Ahilyanagar, Maharashtra 414001, India",,Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/p/AF1QipMNqb0ProNFm1yESgO_LFI4DNZwcn4lis7aQTu-=w80-h142-k-no,
095795 75599,74.7717237,0,4.9,15,10,Kekiz the cake shop Ahmednagar JK road,Cake shop,19.0780641,"Shop no. 795, nearest urvashi computers, Jamkhed Rd, Arun Vaidya Colony, Ahilyanagar, Chahurana Bk., Maharashtra 414002, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/p/AF1QipNMs8CRVHLgIUpEMzGgzk6WKYWZ3WpgAjHgGGPq=w163-h92-k-no,
072087 46949,74.73123029999999,0,4.9,16,47,Hemraj Foods ( WS Bakers),Bakery,19.1303909,"Bhistabag, near Crown plaza, Savedi, Ahilyanagar, Maharashtra 414001, India",,Closed ⋅ Opens 9:30 AM,https://lh3.googleusercontent.com/p/AF1QipPGN9Dj5jDPS3GsjKsVXEMkffT9kiNMd0_t7WtB=w122-h92-k-no,
098601 13733,74.751057,0,4.6,17,33,Cake n bake,Cake shop,19.1097955,"Mukundnagar, Ahilyanagar, Maharashtra 414001, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEwAOdDKw4B3km7rUg8u7NpoTpsAU7HbRLrGGk970hiHJcUC1hOuFqoB6Ef9XP6BodV67K3-IwyRZP2IjDrxwDcYFCqjYETO27EIqBm6uA4Uw7ZukhM96XiMk1EqAP0JQvdFH4mXqoMuw7QzHkIoY9TYVf72l3-Hyk2qJ3RUgKuywFzmvleCfZkew=w92-h92-k-no,
,74.7402268,0,5.0,18,37,Kingdom Of Treats,Cake shop,19.0876921,"34, Sattha Colony, Station Rd, Ahilyanagar, Maharashtra 414001, India",,Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/p/AF1QipP_VmWvqYgsrF6TJR2cVi-PV6KL27TkBbqvoIe-=w84-h92-k-no,https://instagram.com/kingdomoftreats.nagar
098909 10149,74.76341359999999,0,4.9,19,19,Caketwoz The Cake Shop,Cake shop,19.0648558,"Ahilyanagar - Solapur Rd, Darewadi, Wakodi, Ahilyanagar, Maharashtra 414002, India",,Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqhb_ZzSJzoKfJwlU0zZnQ823QpwVrr7nDdJNyX4gpKeqAFABhkng11OKyPTwaTR5Mm_DwEg53DeEAXqAkj-NbSJ0lWP1vw78p_4ZoV8HqzhsswBrsuIBDs9gN_b3rqTUpe1ImT=w122-h92-k-no,
072762 22221,74.7247714,0,4.8,20,35,Chande Bakers,Bakery,19.1354696,"Survey no. 250/2, Plot No.6, Athare Public School Road, behind Hundekari Motors, Savedi, Ahilyanagar, Maharashtra 414003, India",,Closed ⋅ Opens 9 AM,https://lh3.googleusercontent.com/p/AF1QipMBe0H6EHCut6zyQQTqMKlCj9KWE11TBUWb4dWO=w122-h92-k-no,
