reviews,latitude,longitude,type,thumbnail,description,address,hours,rating,website,phone,price_level,position,name
0,19.1181078,74.7355254,Bakery,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=43arEcbTKkZD9kcjIa6b_A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=90.4492&pitch=0&thumbfov=100,,"4P9P+66R, Professor Colony Chowk Rd, Professor Colony, Anand Nagar East, Ahilyanagar, Maharashtra 414003, India",,0,,,0,14,AMIT BAKERY
1,19.0826002,74.7352928,Cake shop,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FtEieHI1KOSlhZzn7coxig&cb_client=search.gws-prod.gps&w=80&h=92&yaw=265.0431&pitch=0&thumbfov=100,,"Eagle Pride Mall, 113A, Burudgaon Rd, Maniknagar, Ahilyanagar, Maharashtra 414001, India",,5.0,,086056 37493,0,15,Athang Foods
0,19.1122146,74.7306397,Bakery,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fihvEOe0x5OtXm_ElKdrGA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=44.69337&pitch=0&thumbfov=100,,"4P6J+V7J, Suman Colony, Mahavir Nagar, Ahilyanagar, Maharashtra 414003, India",,0,,,0,16,Ratnprbha Banglow
90,19.0973755,74.7391633,Bakery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqQp98_1vo0FuW60bYjdb2O5jQ_Eb7DD5_-pEBr-EwmXxcjKTvRuMhQY8OJ-TLHyEKr1X6mX-JUewYFuTeVbtyHXainYbuvGwdG7W0WwGHMXjhF7eioLrCXcuJvVH36bhqpiFeu=w163-h92-k-no,,"Shop No. 7006, M G Road, Opp Simita Medical, Teli Khunt, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 9 AM Fri,4.1,,086052 59778,0,17,Bombay Bakers
39,19.1227949,74.72755389999999,Bakery,//lh6.googleusercontent.com/x-kDqqTGqAg99JUdYa2z4UvHYamElHgxWyvrRlfQT4lWMbOKuwqKKPg2Zv3t6mf2nw=w163-h92-k-no,,"MH SH 10, Savedi, Ahilyanagar, Maharashtra 414003, India",Closed ⋅ Opens 8:30 AM Fri,4.7,https://gripbasket.com/store/new-prabhat-fresh-bake/,086259 38072,0,18,PRABHAT FRESH BAKE
45,19.1085144,74.75240579999999,Bakery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqdPhKC92s9C09CgJ0svsZri-Wy5413nKWllkQ09MCUDTql3PncPtVrkvYitxQnb172rdAKWV3nl3PzWwlB3GGREs9HtMEheKg9UPRAPK7vKoIn0JhJiiqbHdAL4svDaucpK8Y=w194-h92-k-no,,"4Q52+CX2, Gajanan Housing Society, Mukundnagar, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 8 AM Fri,4.4,,,0,19,INDIA BAKERS
0,19.115057,74.7372055,Cake shop,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zBFSigJPyfho1EaE1HwHQw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=40.96062&pitch=0&thumbfov=100,,"4P8P+2VG, opposite Jankalyan Blood Bank, Nalegaon, Ahilyanagar, Maharashtra 414001, India",,0,,,0,20,Shree Ganesh Cake House
161,19.0811867,74.7358804,Cake shop,https://lh3.googleusercontent.com/p/AF1QipNMMRUF5gPgAh1I9eyMNHuDmYfkgbwnneJmmJkG=w197-h92-k-no,,"Shop No 1, Chankya Chowk, Burudgaon Rd, opp. Bhagirathi Hospital, Maniknagar, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 9 AM Fri,4.9,,088033 35555,0,1,"Caramella's Cake Shop | Chanakya Chauk, Ahilyanagar."
407,19.1269246,74.7538351,Cake shop,https://lh3.googleusercontent.com/p/AF1QipOr1Yo-i51pMU6GIr9T6O7FpvhIlN3nPS-jChW_=w80-h106-k-no,,"near City Lawn, behind Taj Garden, Dasarenagar, Ahilyanagar, Maharashtra 414003, India",Closes soon ⋅ 12 AM ⋅ Opens 10 AM Fri,5.0,https://www.instagram.com/harshkitchen/,097628 56158,0,2,Harsh’S Kitchen (Homemade Cakes)
1584,19.1471723,74.6929011,Bakery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noyW8Tob1_uIQj0LGwdYS87rdtJ4NQ-wKMvoRJD9pkapDrFDsvMmVZidgYV-9pGb3cTIiqAkt-Kh3HaslsbJSNrWSDf2ab6ubBe7kI2NHP1mTOmy9R4vF827LfbV0zT0EgPrA=w122-h92-k-no,"Vibrant stop offering custom cakes. Colourful cakes, pastries & snacks are turned out at a bright, counter-service location.","Sahib Bakers, lamkheda chowk, A/65/ 1, near Sahib cold storage, MIDC, Nagapur, Nimblak, Maharashtra 414111, India",Closed ⋅ Opens 8 AM Fri,4.4,,099230 31111,0,3,Sahib Bakers
33,19.0808795,74.7222712,Cake shop,https://lh3.googleusercontent.com/p/AF1QipNRJ2qCRX4H9ionrDrlstaHi9v5zliJF8rdl982=w80-h92-k-no,,"3PJF+8JR Sagar complex, Rama Apartment, Agarkar Mala, Ahilyanagar, Maharashtra 414001, India",,4.9,,074989 66959,0,4,Classy Cakes
40,19.1240567,74.7439127,Cake shop,https://lh3.googleusercontent.com/p/AF1QipNTlOJaKpN-owOyV2GrWhzXmVA2g36rLMMfpB-b=w101-h92-k-no,,"parijat chowk, Gulmohar road, 103, santchhaya appart, opp. Kohinoor Mangal karyalay, Savedi, Maharashtra 414003, India",,5.0,,,0,5,Suja's Cake
10,19.0957344,74.74091039999999,Bakery,https://lh3.googleusercontent.com/p/AF1QipMNqb0ProNFm1yESgO_LFI4DNZwcn4lis7aQTu-=w80-h142-k-no,,"Mathura Land Complex, 2993/94, Saraf Bazaar Rd, Nalegaon, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 7 AM Fri,5.0,,098909 06853,0,6,New Prabhat Breads
15,19.0597161,74.697096,Cake shop,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npcV2ZexaRsHpchg_UZldteUh2vS871jxpAtHiUuVuynrnkf5uGCtnYMhlWdxL_EslqY6Zb7Efr5XELURGt-KuSRCIxPXqS2y3UAb_kaPesPohlNVZI-S056ZJxs3Z9VHALdRIVbyF69P_S=w92-h92-k-no,,"Nath Residency, Motinagar, Kedgaon, Ahilyanagar, Maharashtra 414005, India",Closed ⋅ Opens 7 AM Fri,5.0,,,0,7,SONAL Cakes(Home Made)
29,19.0969077,74.7369531,Bakery,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xZM6J3iCV6B3wvIGCwVKHw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=112.54859&pitch=0&thumbfov=100,,"Neta Subhash Chowk, Besides Loda Heights, Chitale Rd, in front of asha bhel, Maharashtra 414001, India",Closed ⋅ Opens 7 AM Fri,4.9,,092708 61441,0,8,Alpana Bakery
52,19.1187541,74.7360909,Bakery,https://lh3.googleusercontent.com/p/AF1QipP5I15vmmonhFrIfHKHRabC-f5QFDNCKR9BvWMZ=w80-h92-k-no,,"Professor Colony, Savedi, Ahilyanagar, Maharashtra 414003, India",Closed ⋅ Opens 10 AM Fri,5.0,,097642 09977,0,9,FLAVOURS cake factory
11,19.1043961,74.76559519999999,Cake shop,https://lh3.googleusercontent.com/p/AF1QipNCydBV5mv-Q2fkG7PMVwOhmovZLIBxeSr54jg3=w80-h142-k-no,,"Gondhale mala, Nagardvale, Bhingar, Ahilyanagar, Maharashtra 414002, India",Open 24 hours,5.0,https://instagram.com/trisha_bakers?igshid=htu8yt4wjp6e,096971 21298,0,10,Trisha Bakers & Cake Shop
21,19.0778029,74.7346553,Bakery,https://lh3.googleusercontent.com/p/AF1QipOTo68rzQqNEWPZiqvTSBKXNjwQ45HqVPTSCWCJ=w139-h92-k-no,,"Maniknagar, Ahilyanagar, Maharashtra 414001, India",,4.3,,098507 01856,0,11,Bhosale Delight
75,19.0978552,74.7312335,Cake shop,https://lh3.googleusercontent.com/p/AF1QipPDLJSQKYlqC1pGD__7_BibXHgPQl2tKDLRH_i1=w204-h92-k-no,,"Shop No 01, Delhi Gate Rd, Bagroja Hudco Colony, Sarjepura city, Ahilyanagar, Maharashtra 414001, India",,5.0,,082086 33008,0,12,Kekiz Cake Shop
1,19.1662692,74.7644006,Bakery,https://lh3.googleusercontent.com/p/AF1QipM5335GKFPPtMdNgxm7fieBH51Ou5-95JIWu9D2=w163-h92-k-no,,"infront of speed braker, Dataa mandir chowk, midc bypass, Ahilyanagar, Maharashtra 414601, India",Closed ⋅ Opens 7 AM Fri,5.0,,,0,13,Sahib bakers(balaji bakers) Shendi ahemdnagar maharashtra
48,19.0827858,74.7352611,Cake shop,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noVQvisDlBYgB8SZkJe_qaecM2fgIlKOUjgJAukp-H4TAJ7QYfdzjh3AaHWUNy9xlBoHAuAfGAJmgAi5gLH41hqVw7rK--UEetdAeBR3fUiSjlyW_yEgbol2AVME1w3L68O8BmT-g=w122-h92-k-no,,"Shop no A 106, Eagle Pride, Burudgaon, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 10 AM Fri,4.8,http://kekiz.com/,087677 18480,0,14,Kekiz The cake shop
39,19.1227949,74.72755389999999,Bakery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npKc0eg_eRkfWqZh51fA4vhivMU9p-A2c2RMHebpUWyXwWPjdpVh3qa1qN7aNcZecOabfErNpHv7JRPaAJcN_adTmwym15uhJw-GSzrZoVDL6hLM6ht2zdQF7skGdCfsa7nrv8=w80-h106-k-no,,"MH SH 10, Savedi, Ahilyanagar, Maharashtra 414003, India",Closed ⋅ Opens 8:30 AM Fri,4.7,https://gripbasket.com/store/new-prabhat-fresh-bake/,086259 38072,0,15,PRABHAT FRESH BAKE
280,19.0968088,74.7390168,Bakery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npshcslEnjZHkp9aAZpxT0Zb5n6tqga6Vo56GQ0ENcQfjdMPuxS6P6Hv5itXyV1SYPdAbQ0Sgav7YxwsGYhGc0OHr-JK6oUM84JGv_iYV_z8rYl1NU99is7aWgttbRbrcq_h4IV17w_JUID=w122-h92-k-no,,"Shop No. 1, Mg Road, Teli Khunt Rd, Kapad Bazar, Nalegaon, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 9 AM Fri,4.9,,084006 47474,0,16,Lokseva Sweets & Cake shop
46,19.0886071,74.74223549999999,Cake shop,https://lh3.googleusercontent.com/p/AF1QipOeATem-HKtckwktGrVU53A5wjMUcM1bbCKKjSD=w122-h92-k-no,,"Kothi, Market Yard Rd, Parshwanath Colony, Maliwada, Nagar, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 10 AM Fri,4.8,,077210 33389,0,17,AMIT BAKERY
1,19.0967749,74.74389579999999,Bakery,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=r_PGA2OiDayBMcKkjDwmFg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=27.5456&pitch=0&thumbfov=100,,"Nalsaheb Chowk, Zendigate, Ahmednagar, Nalegaon, Ahilyanagar, Maharashtra 414001, India",,5.0,,098500 90785,0,18,CROWN BAKERS
37,19.0876921,74.7402268,Cake shop,https://lh3.googleusercontent.com/p/AF1QipP_VmWvqYgsrF6TJR2cVi-PV6KL27TkBbqvoIe-=w84-h92-k-no,,"34, Sattha Colony, Station Rd, Ahilyanagar, Maharashtra 414001, India",Closed ⋅ Opens 10 AM Fri,5.0,https://instagram.com/kingdomoftreats.nagar,,0,19,Kingdom Of Treats
10,19.0780641,74.7717237,Cake shop,https://lh3.googleusercontent.com/p/AF1QipNMs8CRVHLgIUpEMzGgzk6WKYWZ3WpgAjHgGGPq=w163-h92-k-no,,"Shop no. 795, nearest urvashi computers, Jamkhed Rd, Arun Vaidya Colony, Ahilyanagar, Chahurana Bk., Maharashtra 414002, India",Closed ⋅ Opens 8 AM Fri,4.9,,095795 75599,0,20,Kekiz the cake shop Ahmednagar JK road
33,19.0808795,74.7222712,Cake shop,https://lh3.googleusercontent.com/p/AF1QipPfkljlbcJPumgiZRJmqnpcw4AWgwl-_B6i9FSi=w86-h114-k-no,,"3PJF+8JR Sagar complex, Rama Apartment, Agarkar Mala, Ahilyanagar, Maharashtra 414001, India",,4.9,,+91 74989 66959,0,1,Classy Cakes
