latitude,website,reviews,thumbnail,description,address,type,price_level,position,hours,rating,name,phone,longitude
20.0044424,https://friendsbistro.in/,1431,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqED7VCYyDItZNFoHaljJwxAMNET4DNeb2ggvNJOtnVpa99DGTUoqoV6xoswUbVigRSHTg33dFo5aVt3IOA96q48umZcrSAY4qTb5_5mvGM2Qom1VO4d4XMr_Jn3u9TIv-FAPTYmA=w80-h106-k-no,,"Friends Bistro, Sonali Apartment, Vijan Hospital Road, College Rd, Vise Mala, Canada Corner, Nashik, Maharashtra 422005, India",Cafe,0,11,Closed ⋅ Opens 11 AM,4.2,FRIENDS Bistro,092704 82424,73.7665817
20.0105682,https://www.instagram.com/labarista.nashik/,41,https://lh3.googleusercontent.com/p/AF1QipNLgtgbJXqlJKQUtBg3h2Stajgg0i0XL_H288hH=w80-h106-k-no,,"Gangapur Rd, near KBT Circle, Saubhagya Nagar, Manik Nagar, Nashik, Maharashtra 422013, India",Coffee shop,0,12,Closed ⋅ Opens 9:15 AM,5.0,La Barista,098901 88651,73.7638587
20.0062297,,444,https://lh3.googleusercontent.com/p/AF1QipMNJWBsPiJ9iu5ogDLLrH1YqfipYy3Jm8NcdKfs=w92-h92-k-no,,"College Rd, opp. BYK College, Nashik, Maharashtra 422005, India",Coffee shop,0,13,Closed ⋅ Opens 10 AM,4.4,Cafe' Xpress,097638 62139,73.7625395
20.0023085,,102,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npUk9xqSfINN3dp29_K9s1T5xsmo1B8pTfuIpjkmIWE5RL2rkH52XzRFQ4UpDdCrUhwAyCfsGdMriyYoGTvGLCobIoc3v7ynSlSGBjgiOsRpiRS__dC5nIcbbWxnfASBjrdd-f0=w122-h92-k-no,,"Sharanpur Rd, Adwait Colony, Canada Corner, Nashik, Maharashtra 422002, India",Cafe,0,14,Closed ⋅ Opens 10 AM,4.9,Damo's Cafe,088886 00042,73.7698266
19.9800948,,900,https://lh3.googleusercontent.com/p/AF1QipOpXAF9D358RghI84p4Ddh64oklkB1Qo-yHnjVO=w122-h92-k-no,,"Shyam Flora Building, Ashoka Marg, near Maruti True Value, Uttara Nagar, Nashik, Maharashtra 422011, India",Cafe,0,15,Closed ⋅ Opens 10 AM,4.4,"Pokket cafe, Ashoka marg, Nashik",096736 97656,73.80309799999999
20.0064999,,394,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nozFHZBMD8iMz8CmyyVNsGE4jem5evmLiKwZ5WcdtwCZiKsXBkQ9mP1MOZsrgqucku-rhd8ID4c6Q4Rem6oHqWz6eiL2dZxYhJQSQ5FgPrTsOXbj7ub8ge4ggY7PD8zc-o8tWM=w80-h106-k-no,Coffee chain serving lights meals. Espresso is used in a range of coffee drinks at this chain also preparing international meals.,"Shop No. 3, Cuboid Business Centre, College Rd, Krishi Nagar, Nashik, Maharashtra 422005, India",Coffee shop,0,16,Closed ⋅ Opens 7:30 AM,4.2,Cafe Durga,,73.7595027
20.0076078,,3560,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr9zReygLotrzrSqpJDrLDKn3IajYGum81NQD7Vk8NwiiD3C9zqvprvdCHZh0RHmfIjiCCHjPa3SzWcaThEKa1gHZ0OFbgl-pLS6lnNtQP0qXd7gQD2yxcRdAkKXS969P9pxaY=w122-h92-k-no,"Snug place for varied Indian cooking. Casual nook with patio dining, dispensing regional Indian fare with a vegetarian focus.","College Rd, opp. Kotak Mhindra Bank, near Croma, Thatte Nagar, Nashik, Maharashtra 422005, India",Marathi restaurant,0,17,Closed ⋅ Opens 8 AM,4.2,Modern Cafe Nashik,0253 618 0814,73.7634954
20.0070106,https://lillycafeshop.in/,107,https://lh3.googleusercontent.com/p/AF1QipMaeJCH49XmC4iRx1XbsaDv76H9a0H7m7VL-2Y3=w80-h106-k-no,,"Shop No 2, Giri Kale Building, College Rd, opp. KFC, Thatte Nagar, Nashik, Maharashtra 422005, India",Cafe,0,18,Closed ⋅ Opens 8 AM,4.4,Lilly Cafe - First Boho Cafe In Nashik,,73.7633888
20.0069749,,441,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npB1qv2ZKkrDAgZytXP0kuFZTRed8_4OruCtkOsT3loJwixi7ASGPnCx7JxqHJo1-hc34sVcakWzXna00ccj4Ue5WlS0jGJxQuD7NYZCx8wiFrxiBSxxZ6EhRPNLDlN_WzB02YFVQ=w122-h92-k-no,,"Girikale Complex, College Rd, opp. KFC, Thatte Nagar, Nashik, Maharashtra 422005, India",Cafe,0,19,Closed ⋅ Opens 9 AM,4.6,The Breakfast Story Cafe & Bistro,097673 63709,73.763384
20.0037694,,267,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqUeMwmjYAYFyvFLA1y1eO2LbY-NitnQKiGpBzieyGyoXiCrJVQVUjxCT-bh3qJc1ai_jmoAV4WL0T6jF3ysZTjieoPrC79cB2Bqi4zEIf61c2OnL2SCAaUhYUBokclsuDZe0whsA=w122-h92-k-no,,"6, Vese Mala, Canada Corner, Nashik, Maharashtra 422005, India",Coffee shop,0,20,Closed ⋅ Opens 8 AM,4.2,Wakeup cafe,,73.7673653
19.9906886,,151,https://lh3.googleusercontent.com/p/AF1QipM2QmPwX9HG96DW5QWlZw9PexOUU2R8VXsXXHQ=w80-h106-k-no,,"Second floor, Emporio Cafe, Centre Mall, CCM Lawate Nagar, Untwadi Rd, opp. Crossword Book Store, Lavate Nager, Parijat Nagar, Nashik, Maharashtra 422002, India",Coffee shop,0,1,Closed ⋅ Opens 11 AM,4.7,Emporio Coffee Lounge (Best Coffee Shop at CCM),084828 16555,73.7618778
20.0133272,,1170,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npIeA5bneI1l0YnyRRMwNLe3H1883K_c7fVUUB-HKzAg-SR_Vjy34OctS9DuL1e5cGf0LKNrTMY0R-6J-tqf55sELbbGdpZkvcTcud3SUG2n9Ie_2qHPphXWYEJnsJEzx77rfHlww=w122-h92-k-no,Chill hangout for coffee & light bites. Coffee shop serving various drinks & light Indian fare in a relaxed atmosphere with outdoor tables.,"6 Rushiraj Tower Jehan Circle, Gangapur Rd, Nashik, Maharashtra 422013, India",Coffee shop,0,2,Closed ⋅ Opens 3 PM,4.1,Cafe Bliss,084849 52735,73.7562088
20.005182,,624,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noq4ame18_UByqRSSLu5MW4nREu8UDJrBTfINwptUzMYz3W-AHO-KI6Bb26QgFbrhnHBRPqm-OEg7GfcAz0Tu1T3ZscU0fRiY1HxpJdsiuLW4wXFp8SQM2y52FpKNOyW2roCXEf=w122-h92-k-no,,"Shop No G29-30, S.K Open Mall, College Rd, Ramdas Colony, Nashik, Maharashtra 422005, India",Coffee shop,0,3,Closed ⋅ Opens 10 AM,4.6,Pokket cafe College Road,085303 68669,73.7633887
20.0066483,,824,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqgrMbqPRd7rS2sASWsxBuBYCPZyNwMoQW38iUP9Txudc56S3UNs2aqT7hcy1fIJAcYep4IlVlSCwh1EGDNyjdz7jlqVBFMkQIGICcnnZi4TzRulGvkoBmSrCPj9Dv1Pmyyzqk_=w122-h92-k-no,"Relaxed chain for coffee & light meals. All-day breakfast & cafe lunches, plus signature coffee blends, in an established, casual chain.","Pranav Apartment, Shop No-3&4 Besides Facelook Salon, Patil Lane, 4, College Rd, Nashik, Maharashtra 422005, India",Cafe,0,4,Closed ⋅ Opens 9:30 AM,4.4,COFFEE CLUB NX,094212 90675,73.7657667
19.9801245,,42,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npodzFBtSBKY377DOOBpV16iY09LL34_7GGKqU3FOpUF6ValXpfUa9dSd1vGTvPqeAbyU0wTsE7GWZjZ5EdJXp1Gdt91xnFZiX24HPmNkn0BOHVyu4y04q88h8aO-BagYcpX4Jd2-HbrSiC=w163-h92-k-no,,"Shop no 9, Suncity, Kharjul mala, Takali Marg, next to KTS bar and restaurant, Pushpak Nagar, Lokhande Mala, Nashik Road, Nashik, Maharashtra 422006, India",Coffee shop,0,5,Closed ⋅ Opens 8 AM,4.9,South Indian Filter Coffee Nashik,090964 25590,73.82805239999999
20.0061398,,645,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npXZCnJUQPlwkkB0ZpjVPg7jPiIn-f0NXrHIO0N9xcN1xIPQmFh0k1c9us3Doy34K93dpMDp6XpgQjPwClGrqV20kpxSbloGOZEQ4AzAA9GZ1b4GT3Ldfso3Sd8XyphFyuGAQUawA=w80-h106-k-no,,"Shop-3, Satyamlila Apt, Patil lane No.4, College Rd, Nashik, Maharashtra 422005, India",Coffee shop,0,6,Closed ⋅ Opens 11 AM,4.5,Cafe Panchayat,088880 08368,73.76506359999999
19.9722675,,291,https://lh3.googleusercontent.com/p/AF1QipOYhThHJg1-A4QqdnsAejWpyNg-E0tw4irW81JP=w80-h107-k-no,,"opposite HDFC Bank, Rathchakra Chowk, Indira Nagar, Nashik, Maharashtra 422009, India",Cafe,0,7,Closed ⋅ Opens 10 AM,4.7,TRC The Reality Cafe,077374 51555,73.7852434
20.0111842,,173,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAspSO5ISyWo1U-3Dgu1jEtcLJ4kovwh1FafH-OmfJxB1LsbBPUB-FA--rn0GUZcKRUZDdSDt45MMPk79uVnIg-ZtDLpugrZeSupAAD70OCJU3ITgB8AiwuaShx0cMyqZ1LMPv=w80-h106-k-no,,"Shop No. 3, Aditya B Society, Gangapur Rd, Samarth Chowk, D'souza Colony, Nashik, Maharashtra 422013, India",Coffee shop,0,8,Closed ⋅ Opens 9:30 AM,4.4,All That's Coffee,099703 66649,73.7583239
20.004964,http://www.karmveeramruttulyaindia.com/,1103,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrtBiSM1KPzwCdKDOe1n6mcmIYST1kMWIiNInZ137ej5NA1jGH3P_NBAD6Vxten_MhKKUq8BKS15jKafkOaKTrDQIPiUV2-y0xd2QzjdHWbWyrepvfPfAQ3mCBaynzBfDgnQBg=w80-h106-k-no,,"Opp. Ananda Loundry, Thakkar Nagar, Pandit Colony, Nashik, Maharashtra 422002, India",Coffee shop,0,9,Closed ⋅ Opens 9 AM,4.4,Karmveer Amruttulya Cafe Pandit Colony Nashik,099222 58112,73.775945
19.9590368,,464,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLkgI8ddDYgPZaI8N6tGKYHx52XeRQerv4UI48Zq5gucVTuV988SmydoLuV9mznnbpfTNc3PMWpE1Js96YbyVKQkEVfBsbVLQWXcM7Vxi6RWilraNgruOf6LYgrR--dNTuDBPAvC6KfNhx=w80-h106-k-no,"Low-key spot for cakes & vegetarian fare. Classic, brick-lined outfit offering casual vegetarian dishes & baked goods, plus custom cakes.","Shop No-3&4 Sai Leela Residency, Jai Bhavani Rd, near Suman Hospital, Gandhi Nagar Airport Area, Deolali Gaon, Nashik, Maharashtra 422101, India",Cafe,0,10,Closed ⋅ Opens 10 AM,4.7,Love At Every Bite Cafe And Cakes,0253 403 2654,73.8232598
20.0057867,,127,https://lh3.googleusercontent.com/p/AF1QipOrZRf3S918dJqeqlRUbs3S9A_XAfAicgQfFFkB=w80-h106-k-no,,"College Rd, opposite nykaa and Flying Monk, Patil Colony, Nashik, Maharashtra 422005, India",Coffee shop,0,11,Open ⋅ Closes 12 PM ⋅ Reopens 1 PM,4.9,Aks Coffee Essence,,73.7654577
20.0044424,https://friendsbistro.in/,1431,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4ozrwt4e_fWmmswcjennpDmRV2IfUAGlI5DLA_syyqSmxkqE18qET9ko5P_3bHhlDdMxRwayWiUa52a6CzyJ9KDGhxrXE_Jl1AdqXm1g4bBC_ar0xKyrC7RttNJ2FvEZAcKbs=w122-h92-k-no,,"Friends Bistro, Sonali Apartment, Vijan Hospital Road, College Rd, Vise Mala, Canada Corner, Nashik, Maharashtra 422005, India",Cafe,0,12,Closed ⋅ Opens 11 AM,4.2,FRIENDS Bistro,092704 82424,73.7665817
20.0069749,,441,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no1ldKRl_7cFBWJT4HFJNiv_O-xyxf57oJ2dDDdjAtQwkVs5y1OLKYqooI_NjHmVzsOUOJ7P5xHFU9jKfXrSApXuVkAaEPen5vvyoep1yBFbwbrUTBCErBjhe5TLGIXHjqTSrTjkw=w80-h115-k-no,,"Girikale Complex, College Rd, opp. KFC, Thatte Nagar, Nashik, Maharashtra 422005, India",Cafe,0,13,Closed ⋅ Opens 9 AM,4.6,The Breakfast Story Cafe & Bistro,097673 63709,73.763384
20.0023085,,102,https://lh3.googleusercontent.com/p/AF1QipPrhaGXSNeWiQFPteVu0AkSS-72mn6O8JV44gDA=w122-h92-k-no,,"Sharanpur Rd, Adwait Colony, Canada Corner, Nashik, Maharashtra 422002, India",Cafe,0,14,Closed ⋅ Opens 10 AM,4.9,Damo's Cafe,088886 00042,73.7698266
19.9800948,,900,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq1R0E39evXe0uDbgyyFsTEX6EDK7lVW9ovnK_-HWP-yeu-aELsOYgX2foLNYKslw0FDkR_RKbopjxwqYjpsS-H55f3jwwrZUZJDbakauVdlhKyfqps7Yr5_zPKEAS3Fn2VkE1R=w122-h92-k-no,,"Shyam Flora Building, Ashoka Marg, near Maruti True Value, Uttara Nagar, Nashik, Maharashtra 422011, India",Cafe,0,15,Closed ⋅ Opens 10 AM,4.4,"Pokket cafe, Ashoka marg, Nashik",096736 97656,73.80309799999999
20.0076775,,120,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npelnxnG5PeMUC1nFm06gBcEPnLnDKnrl1ACpM9xA1qPGOh4HFNrU6IRrwFLrxbsSq-6boX8C2KGuKlx4rTuZ1zmzO2KoHRm8H3qP-UaW7AtfIhNq3eCyhAkWNN28i1IBENmfhBkw=w122-h92-k-no,,"shop no, 2, Gangapur Rd, Old Gangapur Naka, Shreerang Nagar, Nashik, Maharashtra 422013, India",Coffee shop,0,16,Closed ⋅ Opens 10:30 AM,4.7,Brewing Tales,,73.77109349999999
20.0039797,,188,https://lh3.googleusercontent.com/p/AF1QipOSDdoQ-wfGVnlDi23ArOGQ1KbBf10JHseE8VFS=w163-h92-k-no,,"Basement 1, Anandrupa, Dr BS Moonje Marg, below John Players, Wellness Forever Side to Sachi Honda, Samartha Nagar, Mahatma Nagar, Parijat Nagar, Nashik, Maharashtra 422005, India",Cafe,0,17,Closed ⋅ Opens 10 AM,4.5,The Leaf,097671 11027,73.7547342
20.0059375,,28,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no6xHKhQ0YVUmMw35oH4PdwRgV65uYCdSG3urH6qEVYvghOsf7-AwrpVnFsAGbV_5-Zv0TUTKq615nji2TcYDUq-mQ2vZ8zE2VeyDYESE7tkgz4nnF97t5gNLrrL0ete-fv3kGLFHd8CuAu=w122-h92-k-no,,"2A, Gangapur Rd, opp. KBH School, Patil Colony, Naka, Nashik, Maharashtra 422005, India",Coffee shop,0,18,Closed ⋅ Opens 7 AM,5.0,Flutterby Café,,73.769504
20.0076078,,3560,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqXg4YBRb0fFfhWgjlTE97mPP4NJaldGBWrtGYLc6DDHgLD9d7NN6_fRKBHs8jXcMn2diwr40MKfDVJj36O25cOkndyyir0B03mojxJc-L9WAUYxrQltl4Qg3pnN_PJym9dWgy7=w122-h92-k-no,"Snug place for varied Indian cooking. Casual nook with patio dining, dispensing regional Indian fare with a vegetarian focus.","College Rd, opp. Kotak Mhindra Bank, near Croma, Thatte Nagar, Nashik, Maharashtra 422005, India",Marathi restaurant,0,19,Closed ⋅ Opens 8 AM,4.2,Modern Cafe Nashik,0253 618 0814,73.7634954
20.0105682,https://www.instagram.com/labarista.nashik/,41,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqxlyhiFKdPHjFMQ1KkycYr9iD9oJ_Oqq8vZbieoNjpD-T84PoS1w0lYqXy2MoTZia8bOQAITobQVDEOucFaO6Uarzq4q2hPtZHHvRHyRtbA1Xnn1K2507y6U71jtfKBJ34rFLZ=w80-h94-k-no,,"Gangapur Rd, near KBT Circle, Saubhagya Nagar, Manik Nagar, Nashik, Maharashtra 422013, India",Coffee shop,0,20,Closed ⋅ Opens 9:15 AM,5.0,La Barista,098901 88651,73.7638587
