value,date,formatted_value,has_data,query
100,"Jun 15 – 21, 2025",pharmacy Pune,True,pharmacy Pune
80,"Jun 22 – 28, 2025",pharmacy Pune,True,pharmacy Pune
62,"Jun 29 – Jul 5, 2025",pharmacy Pune,True,pharmacy Pune
67,"Jul 6 – 12, 2025",pharmacy Pune,True,pharmacy Pune
51,"Jul 13 – 19, 2025",pharmacy Pune,True,pharmacy Pune
42,"Jul 20 – 26, 2025",pharmacy Pune,True,pharmacy Pune
48,"Jul 27 – Aug 2, 2025",pharmacy Pune,True,pharmacy Pune
43,"Aug 3 – 9, 2025",pharmacy Pune,True,pharmacy Pune
32,"Aug 10 – 16, 2025",pharmacy Pune,True,pharmacy Pune
33,"Aug 17 – 23, 2025",pharmacy Pune,True,pharmacy Pune
27,"Aug 24 – 30, 2025",pharmacy Pune,True,pharmacy Pune
22,"Aug 31 – Sep 6, 2025",pharmacy Pune,True,pharmacy Pune
39,"Sep 7 – 13, 2025",pharmacy Pune,True,pharmacy Pune
38,"Sep 14 – 20, 2025",pharmacy Pune,True,pharmacy Pune
39,"Sep 21 – 27, 2025",pharmacy Pune,True,pharmacy Pune
77,"Sep 28 – Oct 4, 2025",pharmacy Pune,True,pharmacy Pune
